港台,#genre#
TVB翡翠台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=6qxSYHSIptzinr0AhIDiB%3DCuhJTgW2Vjg4TMVqh%3DD7fUW9jDWuEJk5GCCByyr
鳳凰衛視中文,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=VFEcrSdaAhtQoR0crTKPrX678ExfASKu3VK36EhgtSKetm9crHkk8PdzrYK%3DG
鳳凰衛視資訊,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=-ClqCAFpVQ2xoCsKWs14B96VDPIXUui7Su0TpvKZu%3DE7YMmWb%3D3Up%3DYGDBCsw
凤凰香港高清,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=zFMtYutz%3DiYshhLlh384L5cqKj9qJhoAbheti2sd7EftOywP9jrJdeO6O5skU
香港衛視HKS,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KMwQl4i%3D0K1CURBUeLTQhIJ7z3SSgViXeUOAhNAv7DfHlaFiTSBZfIjkh-WD7
香港開電視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KXQv84%3DwjJiaRPxIdLwci9WMg5SB0KynkKBHtLw4nDf7laFiTSBZfIjkh-WH7
ViuTV,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=LKDGVMBCoICBS5jYlPHERUW9kNBh0TVBSGDBSPXMSJT1Wd0moKFZk2WlSQXbu
TVB無線新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=QafK%3D%3D0q0h8MoOpTsTrOySFinUYJ9P8Ts%3DUPlXJNVNMavjOXlVYm6RYmqRcqH
TVB無線財經資訊台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=lpch8kTltzzauzMp4vD06ozh60%3DZ9wAcDnQZ9oPV8vAAw3juuqvlLgDBupwN6
TVB J2台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=xxrAHsGu3zo7ZgGG3zYrYsp-0x4LVs2xI94ndfmNDxIHKwpO30rEYcJO30orW
TVB明珠台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=04tmIDHaPkYLN%3D8kg9r4Ryc6auOzKivsc09vNkd0NEr9MHt7856yghLLO2pcd
TVB星河,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=HIVAhJNAfFSVhIgCzHuKcHvKjRcATICUhKNHx5yNiIAalYBieKSKzCPgRJS%3Dy
星空衛視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=n11PDWzgCw-Exh0gUXwjEVus84SRQoSv8WzNskOz8VR4FoQvEXh1%3DoyuCryPC
耀才財經,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=J7QNjZN6y8gJdNACwIz9bZwuvHgxiNN%3DcHgFcZwyxIzFReAPe-DKfKgPe-Axk
港台電視31,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=J7g-NO9Cy9wRiaguu7D1jPQDbIwNcNw6tHACPO9LeIQNReAPe-DKfKgPe-A1b
港台電視32,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=FPKvZDY6bIsaiP63eCYKcI8JyP9zZE7OdHvBuDqOuP4CRXviiG9Hs%3DbfPJ8Fv
澳門衛視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=54zB-t8sPCAER48Lh4AUP48vj2QIQts7e4AERsP0P2D0A8vQP5DNOoPQP5A4N
澳亞衛視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=y4uuYg%3DlLtR062Xq4mq0MkutPt7hNE8152I94DOnMs8Z-xxQ63qGJh6QPl7cd
Fashion TV,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=TOnfnC6StWuGnWoYoWMq4DKS6MnfbXrTYW4NXWPjpPHmrR6vdZeToTrZYZMS-
HBO HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=mqiY%3DWrjEnFjCny0-lrsPkdvNWAgNjsQRpeyYlM2SoOtu1hw-utmOlCw9XrjC
HBO2,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=HSlTxWATv6VBZHzO1TxCfJPNyFsYOTVTvWdDs7C5cHA6lYBieKSKzCPgRJSDz
環球電視台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=yDRjOgcdMsOM80a5Kw3MOjecbi74i3Z0KBIcF4BrKs85-xxQ63qGJh6QPl7ci
香港有線新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=WVNOsiBQ5aJrtYdgbSgTAUwLvXwYtSJTsUayomersV8mwoOsxVko-QteqZeU4
香港有线高清603台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=nqinAjjpulu0xWUwXjtSQVeo-4ShToCstizRtmezEix8FoQvEXh1%3DoyuCryX9
香港有線娛樂台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=XiPZ2msw8Jw8-baJxamnskgRrQ%3DlAWvl2ccY6IAE9ldNipWztbgZ-BvyrYPYE
功夫台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=kgfiqUS1sfL25lTZ%3D0CPogtLM2oc-pJa8zaZVSth9T5QAkfCpWy56Pu%3DrowR8
Discovery,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=BSK5sK0vYHaRrKU%3DWSKBvJX0DTKFu9ELYSt2eKU3ZSqJeO3MGJNOs6XMGJK9u
Discovery科学,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=npCP9W2Q9w-3CVEgYZNPGVRcCsvRTo1X8iDM7mO8yhRcFoQvEXh1%3DoyuCryXB
Discovery Asia 頻道,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=1yU1OjPBSku5ayR1PjfpSlRtbnxS8wPBMkuBWmxC9v%3DJ%3D1hKJoEKPgSK9nuxd
三立綜合台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=VQBL8TqbpVqcsGUMrSdfoidAsQ0YrTdS3VaTAEUYsSKWtm9crHkk8PdzrYKDA
三立都会台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=4FB%3DBHg9kst8o6D-%3D2vTdpwrPpS1N6BH%3DIwuP3wolGA9EHiURsD7elVSB8x6M
三立戲劇台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KLw0lDSwlJiJiPxUcNTUg7Z4iEiCgKyPfJRPwMQP84%3DDlaFiTSBZfIjkh-W7t
三立台灣台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=gjmSHdqZIpJd2w0ZEUXQPpI06dafJhjr3dqtFeJWnlXp2jXp7grt6aq81kjWD
中天新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=QbcSB%3DUG6icYjaMSAfu3jT1J8UFZ6PfLt-0q0hZZXNcWvjOXlVYm6RYmqRcW8
