国内,#genre#
CCTV1超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV4超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV5+超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV6超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV7超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV9超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV10超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV11超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV12超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV13超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV14超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV15超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV17超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
广东珠江,https://mrw.so/5dnqXf?dsjtv&zjpd.m3u8#http://nclive.grtn.cn/zjpd/sd/live.m3u8
广东体育,http://nclive.grtn.cn/typd/sd/live.m3u8
湖南卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=072&Provider_id=&Pcontent_id=index.m3u8
东方卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=044&Provider_id=&Pcontent_id=index.m3u8
黑龙江卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=045&Provider_id=&Pcontent_id=index.m3u8
广东卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
深圳卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=002&Provider_id=&Pcontent_id=index.m3u8
江苏卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8#http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8
北京卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=046&Provider_id=&Pcontent_id=index.m3u8
北京卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=046&Provider_id=&Pcontent_id=index.m3u8
海南卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=014&Provider_id=&Pcontent_id=index.m3u8
山东卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=005&Provider_id=&Pcontent_id=index.m3u8
江西卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=048&Provider_id=&Pcontent_id=index.m3u8
湖北卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=054&Provider_id=&Pcontent_id=index.m3u8
河南卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=051&Provider_id=&Pcontent_id=index.m3u8
河北卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=015&Provider_id=&Pcontent_id=index.m3u8
贵州卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=047&Provider_id=&Pcontent_id=index.m3u8
广西卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=053&Provider_id=&Pcontent_id=index.m3u8
广西卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=053&Provider_id=&Pcontent_id=index.m3u8
四川卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=085&Provider_id=&Pcontent_id=index.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=062&Provider_id=&Pcontent_id=index.m3u8
辽宁卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8
重庆卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
安徽卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=008&Provider_id=&Pcontent_id=index.m3u8

港台,#genre#
八大第一,vjms://58.215.133.161:8500/live/cid=441#vjms://58.215.133.185:8500:3502/live/cid=441#vjms://58.215.133.184:8500:3502/live/cid=441#vjms://58.215.133.185:8500:3502/live/cid=441
无线新闻,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=QafK%3D%3D0q0h8MoOpTsTrOySFinUYJ9P8Ts%3DUPlXJNVNMavjOXlVYm6RYmqRcqH#p2p://170.178.164.242:6220/5b448a930006507800029caab508f093.ts#p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts#P2p://lino.homeunix.com:6007/5a562bec0007bfd761a2998e00b83dd5.ts#P2p://lino.homeunix.com:6007/5ad32bdc000b780449ee52022e841cf7.ts
翡翠台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=6qxSYHSIptzinr0AhIDiB%3DCuhJTgW2Vjg4TMVqh%3DD7fUW9jDWuEJk5GCCByyr#http://cloud-play.hhalloy.com/live/b3a93cbbd1908e81783879747bb3090a.flv#p2p://170.178.164.242:6220/5b448a91000047c10002934f41cb6082.ts#p8p://0198.02686.cc:16871/5d1a69fb000eb19011bef55c89140144.ts#P2p://lino.homeunix.com:6007/5ad32c0d0000bbd049ef0eab717740e2.ts#P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8.ts
J2台,p8p://0198.02686.cc:16871/5d1a6990000c457811bd52c53e48f6b9.ts#P2p://lino.homeunix.com:6007/59fd25e80008aaec02a88fc1476f2edf.ts#P2p://lino.homeunix.com:6007/5ad32b7d000cca4049ecdf4812f47470.ts
无线财经资讯台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=lpch8kTltzzauzMp4vD06ozh60%3DZ9wAcDnQZ9oPV8vAAw3juuqvlLgDBupwN6#P2p://lino.homeunix.com:6007/59fd314f000be93d02d51ae40a3a24e8.ts
无线财经资讯台J5台,P2p://lino.homeunix.com:6007/5ad32aed000d8fa649eaacf716d70340.ts
明珠台,p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts#P2p://lino.homeunix.com:6007/59fd0d0a0009323a02476cb020fe16f9.ts#P2p://lino.homeunix.com:6007/5ad32b590006aefa49ec511272c5262e.ts
星河频道,P2p://lino.homeunix.com:6007/59fd3f91000c54e4030cccd33c6f6c3c.ts
功夫台,P2p://lino.homeunix.com:6007/5a32174e0001f481d4b0ec8f67f06c2b.ts
viu TV,P2p://lino.homeunix.com:6007/59fd171800092000026eb35003107eef.ts#P2p://lino.homeunix.com:6007/5ad32bae0001dd1049ed9be114c818f0.ts
viu 6,P2p://lino.homeunix.com:6007/5b389c92000621bc35b08cbd438b4298.ts
港视31,p8p://0198.02686.cc:16871/5d495caf000f16ce956b79188dfc18de.ts#P2p://lino.homeunix.com:6007/5b1ea0dc000bba59d03063fa2f1a513c.ts#P2p://lino.homeunix.com:6007/5b1ea0dc000bba59d03063fa2f1a513c.ts
港视32,P2p://lino.homeunix.com:6007/5b1ea120000af380d0316d6b59657817.ts#P2p://lino.homeunix.com:6007/5b1ea120000af380d0316d6b59657817.ts
凤凰中文,http://liveali.ifeng.com/live/FHZW.m3u8
凤凰资讯,http://liveali.ifeng.com/live/FHZX.m3u8
凤凰香港,http://qlive.fengshows.cn/live720p/PHK.flv?txSecret=daefe6664bbeadcfb4ee2338a48d041c&txTime=16f1ea41738
NOW新闻台,http://hdtv.ubdata.info/ublive/a7b5cbb14da05762b9fa751a2d905691/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳門衛視,http://stream.mastvnet.com/MSTV/SD/live.m3u8
澳亞衛視,http://stream.mastvnet.com/MASTV/sd/live.m3u8
莲花卫视,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
大爱卫视,https://tv1.wanfudaluye.com/live/live.m3u8
大爱二台,https://tv2.wanfudaluye.com/live/live.m3u8
大爱海外,https://tv3.wanfudaluye.com/live/live.m3u8
中天新闻,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
中天综合,http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
中天娱乐,http://104.250.154.42:8080/ZZ_zhongtianyule/ZZ_zhongtianyule.m3u8
东森新闻,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
动物星球,http://104.250.154.42:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
WarnerTV,http://104.250.154.42:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
東森電影,http://104.250.154.42:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
龍祥時代,http://104.250.154.42:8080/ZZ_shidai/ZZ_shidai.m3u8
好萊塢,http://104.250.154.42:8080//ZZ_haolaiwu/ZZ_haolaiwu.m3u8
FOX電影,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
天映频道,P2p://lino.homeunix.com:6007/5b2f1ee9000d3e3d109cc71f4b240eb3.ts
天映经典,P2p://lino.homeunix.com:6007/5b2e01c400098d0f0c42edad22c37385.ts
全佳,P2p://lino.homeunix.com:6007/5b2c7b9d000cafb7064ee62073b5429d.ts
小太阳,P2p://lino.homeunix.com:6007/5b2c879d000424bd067dc3ee45d96446.ts
欢喜台,P2p://lino.homeunix.com:6007/5b2c86ff000b8df6067b5ca240b93635.ts
双星,P2p://lino.homeunix.com:6007/5b2f26bb000f257c10bb53ec280e5f3f.ts
AEC,P2p://lino.homeunix.com:6007/5b2c873100007ef4067c1d2352642785.ts
AOD,P2p://lino.homeunix.com:6007/5b2c8894000eb34506818b752bbe53c4.ts
Discovery科学频道,P2p://lino.homeunix.com:6007/59fd166e000c7533026c1c1b4bf23d6b.ts
Discovery动力频道,P2p://lino.homeunix.com:6007/59fd2846000cb99902b1cffa3bb33abb.ts
国家地理People,P2p://lino.homeunix.com:6007/59fd2804000a86bb02b0cd8e6fa14a15.ts
Discovery Asia,P2p://lino.homeunix.com:6007/59fd15f7000e7852026a4bd030284bc8.ts
Discovery,P2p://lino.homeunix.com:6007/59fcf587000c4fc201eb95c324ea0953.ts
地理野生频道,P2p://lino.homeunix.com:6007/59fd082b000c6ca7023466633fed4c93.ts
澳门莲花卫视,P2p://lino.homeunix.com:6007/5acb8740000253a62c1307843e7c4bc3.ts
TVBS新闻台,P2p://lino.homeunix.com:6007/59fd096d0003aa9702394e013b6206a2.ts
三立新闻,P2p://lino.homeunix.com:6007/59fd08fd000707490237995b3c9f2775.ts
壹电视新闻,P2p://lino.homeunix.com:6007/59fd08ad000509c00236604f613b08e7.ts
非凡新闻,P2p://lino.homeunix.com:6007/59fd05f30007004f022bba4b77671d93.ts
年代新闻,P2p://lino.homeunix.com:6007/5a56230e0004af51617ff5935a3e292e.ts
民视新闻台,P2p://lino.homeunix.com:6007/59fd05930008403b022a439a3b9b7401.ts
东森新闻,P2p://lino.homeunix.com:6007/5a1427ee0009fb195fc1064a3af652d1.ts
东森财经新闻,P2p://lino.homeunix.com:6007/59fd1f94000ee56d028fd937397b7e63.ts
寰宇新闻频道,P2p://lino.homeunix.com:6007/59fd2b5e0006d13802bde4340bc41e87.ts
寰宇新闻二台,P2p://lino.homeunix.com:6007/5a142744000f25045fbe6f82276e0d88.ts
